loss,test_loss,acc1,test_acc1,acc2,test_acc2,acc3,test_acc3
2.39100616,2.66369330,1.0000,1.0000,0.7277,0.6349,0.9049,0.8801
2.38560041,2.66543142,1.0000,1.0000,0.7233,0.6353,0.9053,0.8821
2.38335611,2.66295592,1.0000,1.0000,0.7291,0.6353,0.9079,0.8797
2.38435373,2.66424338,1.0000,1.0000,0.7269,0.6396,0.9084,0.8801
2.38707187,2.67023235,1.0000,1.0000,0.7290,0.6337,0.9086,0.8786
2.38785034,2.67028573,1.0000,1.0000,0.7273,0.6404,0.9066,0.8770
2.38460979,2.66109957,1.0000,1.0000,0.7280,0.6428,0.9068,0.8817
2.37903123,2.66414748,1.0000,1.0000,0.7330,0.6416,0.9068,0.8762
2.37965494,2.66251368,1.0000,1.0000,0.7333,0.6424,0.9081,0.8782
2.38177431,2.65863223,1.0000,1.0000,0.7303,0.6408,0.9077,0.8809
2.37991051,2.66582065,1.0000,1.0000,0.7339,0.6341,0.9077,0.8794
